ajjzjd,ajjzjdTranslateText,bglajAjjzjd,bglajAjjzjdTranslateText,bglajGxdm,bglajGxdmTranslateText,gxdm,gxdmTranslateText,yslx,yslxTranslateText,ywlx,ywlxTranslateText,jbfy,jbfyTranslateText
1,新移送,1,新移送,010101,发回重审裁定,010101,发回重审裁定,101,管辖/提级管辖,0301,民事一审,0,最高人民法院
2,新登记,2,新登记,010102,指令受理裁定,010102,指令受理裁定,102,管辖/指定管辖,0301,民事一审,0,最高人民法院
3,待审查,3,待审查,010103,指定管辖裁定,010103,指定管辖裁定,103,管辖/管辖协商,0301,民事一审,0,最高人民法院
4,待审批,4,待审批,010104,新立案件,010104,新立案件,104,管辖/管辖异议上诉,0301,民事一审,0,最高人民法院
5,待分案,5,待分案,010105,支付令事项,010105,支付令事项,105,管辖/移交管辖,0301,民事一审,0,最高人民法院
6,等待确认,6,等待确认,010106,公示催告,010106,公示催告,106,管辖/移送至先立案法院,0301,民事一审,0,最高人民法院
7,审理中,7,审理中,010107,执行异议,010107,执行异议,201,管辖/裁定移送其他法院管辖,0301,民事一审,0,最高人民法院
8,立案待结,8,立案待结,010108,移交管辖裁定,010108,移交管辖裁定,202,管辖/被上级法院提级管辖,0301,民事一审,0,最高人民法院
9,待申请报结,9,待申请报结,010109,协商管辖裁定,010109,协商管辖裁定,203,管辖/移交下级法院管辖,0301,民事一审,0,最高人民法院
10,办案已结,10,办案已结,010110,提级管辖裁定,010110,提级管辖裁定,204,管辖/被指定其他法院管辖,0301,民事一审,0,最高人民法院
11,办案已归档,11,办案已归档,010111,原破产清算/强制清算案件,010111,原破产清算/强制清算案件,301,启动二审/上诉,0301,民事一审,0,最高人民法院
12,立案已结,12,立案已结,010112,强制医疗发回重审,010112,强制医疗发回重审,302,启动二审/抗诉,0301,民事一审,0,最高人民法院
13,立案已归档,13,立案已归档,010201,原一审,010201,原一审,401,再审审查/法院监督,0301,民事一审,0,最高人民法院
14,被阻拦,14,被阻拦,010202,二审,010202,二审,402,再审审查/申请再审/申诉,0301,民事一审,0,最高人民法院
15,待补正,15,待补正,010203,再审,010203,再审,403,再审审查/抗诉,0301,民事一审,0,最高人民法院
16,已调解,16,已调解,010204,复核,010204,复核,404,再审/再审审查决定再审,0301,民事一审,0,最高人民法院
888001,待分配业务庭,888001,待分配业务庭,010205,特殊假释,010205,特殊假释,405,再审/再审一审上诉,0301,民事一审,0,最高人民法院
888002,待业务庭签收,888002,待业务庭签收,010301,原生效裁判,010301,原生效裁判,501,民事一审/支付令事项,0301,民事一审,0,最高人民法院
888003,已送达待归档,888003,已送达待归档,010302,再审审查,010302,再审审查,502,民事一审/公示催告,0301,民事一审,0,最高人民法院
888004,已销案,888004,已销案,010303,再审,010303,再审,503,民事一审/执行异议,0301,民事一审,0,最高人民法院
1,新移送,10,办案已结,010401,执行依据,010401,执行依据,504,民事一审/破产,0301,民事一审,0,最高人民法院
7,审理中,888002,待业务庭签收,010402,恢复执行,010402,恢复执行,601,复议/强制医疗复议,0301,民事一审,0,最高人民法院
7,审理中,12,立案已结,010403,首次执行,010403,首次执行,602,复议/行为保全,0301,民事一审,0,最高人民法院
