ajdxyx,ajdxyxTranslateText,ajsj,ajsjTranslateText,jgaj,jgajTranslateText,sfta,sftaTranslateText,sgatqx,sgatqxTranslateText,sjgbhdq,sjgbhdqTranslateText,swqx,swqxTranslateText,ywlx,ywlxTranslateText,jbfy,jbfyTranslateText
['1'],重大案件,['255'],未涉及,1,是,1,是,['1'],当事人是港澳台地区自然人、企业或组织,['156'],中国（大陆）,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['2'],复杂疑难案件,['1'],涉群体性纠纷,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['344'],中国香港,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['2'],涉家庭暴力,1,是,2,否,['3'],标的物在港澳台地区,['446'],中国澳门,['3'],标的物在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['3'],涉婚外情,1,是,1,是,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['158'],中国台湾,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['4'],涉知识产权,1,是,2,否,['255'],可以认定为涉港澳台案件的其他情形,['840'],美国,['255'],可以认定为涉外民事案件的其他情形,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['5'],涉农民工工资,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['643'],俄罗斯联邦,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['6'],涉征地补偿,2,否,2,否,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['124'],加拿大,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['7'],涉拆迁安置补偿,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['392'],日本,['255'],可以认定为涉外民事案件的其他情形,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['8'],涉产品质量,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['826'],英国,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['9'],涉环境污染,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['250'],法国,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['10'],涉环境资源,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['276'],德国,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['11'],涉医疗纠纷,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['380'],意大利,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['12'],涉合同欺诈,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['372'],爱尔兰,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['13'],涉服务欺诈,2,否,1,是,['3'],标的物在港澳台地区,['528'],荷兰,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['56'],比利时,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['15'],涉贷款欺诈,1,是,2,否,['1'],当事人是港澳台地区自然人、企业或组织,['442'],卢森堡,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['16'],涉法律援助,2,否,2,否,['3'],标的物在港澳台地区,['724'],西班牙,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['17'],涉海事海商,2,否,2,否,['3'],标的物在港澳台地区,['620'],葡萄牙,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['18'],涉WTO规则,2,否,2,否,['1'],当事人是港澳台地区自然人、企业或组织,['300'],希腊,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['19'],涉自贸区,2,否,2,否,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['752'],瑞典,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['20'],跨行政区划,1,是,2,否,['3'],标的物在港澳台地区,['246'],芬兰,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,2,否,2,否,['3'],标的物在港澳台地区,['40'],奥地利,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['22'],授权审理,2,否,1,是,['3'],标的物在港澳台地区,['208'],丹麦,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['23'],涉人大代表,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['616'],波兰,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['470'],马耳他,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['705'],斯洛文尼亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['26'],涉军,2,否,1,是,['255'],可以认定为涉港澳台案件的其他情形,['348'],匈牙利,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['14'],涉保险欺诈,2,否,1,是,['3'],标的物在港澳台地区,['440'],立陶宛,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['21'],双语审判,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['703'],斯洛伐克,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['25'],涉未成年,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['203'],捷克,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['24'],涉政协委员,1,是,2,否,['2'],当事人的经常居住地在港澳台地区,['233'],爱沙尼亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['428'],拉脱维亚,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['4'],产生、变更或者消灭民事关系的法律事实发生在港澳台地区,['196'],塞浦路斯,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['255'],未涉及,2,否,2,否,['255'],可以认定为涉港澳台案件的其他情形,['642'],罗马尼亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['1'],涉群体性纠纷,2,否,1,是,['2'],当事人的经常居住地在港澳台地区,['100'],保加利亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['22'],授权审理,1,是,2,否,['255'],可以认定为涉港澳台案件的其他情形,['36'],澳大利亚,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['21'],双语审判,1,是,1,是,['2'],当事人的经常居住地在港澳台地区,['410'],韩国,['2'],当事人的经常居住地在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['1'],重大案件,['22'],授权审理,2,否,2,否,['2'],当事人的经常居住地在港澳台地区,['356'],印度,['4'],产生、变更或者消灭民事关系的法律事实发生在中国领域外,1109,破产监督,2400,湖南省高级人民法院
['3'],社会反响强烈或关注案件,['26'],涉军,1,是,2,否,['3'],标的物在港澳台地区,['408'],朝鲜,['1'],当事人是外国人、无国籍人、外国企业或组织,1109,破产监督,2400,湖南省高级人民法院
